Transaction_ID,Product,Region,Quantity,Unit_Price,Total_Sales,Date
T00000001,Printer,North,14,1483.07,20762.98,2024-10-13
T00000002,Keyboard,East,12,1917.22,23006.64,2023-02-04
T00000003,Printer,Central,14,667.05,9338.7,2023-05-15
T00000004,Laptop,North,5,1794.17,8970.85,2021-02-10
T00000005,Printer,West,16,212.5,3400.0,2020-05-16
T00000006,Mouse,East,7,913.73,6396.11,2022-02-14
T00000007,Monitor,Central,3,1208.74,3626.22,2023-05-23
T00000008,Keyboard,North,3,451.85,1355.55,2023-12-19
T00000009,Printer,Central,7,621.4,4349.8,2021-06-13
T00000010,Monitor,South,3,582.35,1747.05,2023-11-08
T00000011,Mouse,West,17,1786.65,30373.05,2023-03-30
T00000012,Smartwatch,North,3,406.14,1218.42,2023-11-20
T00000013,Printer,Central,13,981.98,12765.74,2023-05-20
T00000014,Laptop,North,13,1881.61,24460.93,2022-01-27
T00000015,Headphones,East,15,1547.23,23208.45,2022-09-10
T00000016,Camera,West,9,133.19,1198.71,2020-08-17
T00000017,Laptop,East,5,763.86,3819.3,2020-12-20
T00000018,Mouse,East,20,578.91,11578.2,2021-09-26
T00000019,Smartphone,South,17,1654.84,28132.28,2024-12-02
T00000020,Mouse,Central,7,407.3,2851.1,2024-10-17
T00000021,Smartwatch,West,15,85.33,1279.95,2024-09-24
T00000022,Tablet,West,17,577.59,9819.03,2023-05-07
T00000023,Headphones,North,9,381.22,3430.98,2020-03-03
T00000024,Keyboard,South,19,441.0,8379.0,2021-11-29
T00000025,Camera,North,20,988.51,19770.2,2024-01-27
T00000026,Printer,Central,5,239.44,1197.2,2023-10-15
T00000027,Smartphone,North,12,581.34,6976.08,2023-12-03
T00000028,Smartphone,East,9,470.38,4233.42,2023-11-07
T00000029,Keyboard,North,7,563.75,3946.25,2022-04-23
T00000030,Mouse,South,13,1742.24,22649.12,2021-03-28
T00000031,Smartwatch,North,9,1239.44,11154.96,2021-10-03
T00000032,Camera,East,8,466.9,3735.2,2022-02-24
T00000033,Monitor,Central,2,1083.55,2167.1,2022-07-15
T00000034,Keyboard,East,11,212.44,2336.84,2021-12-05
T00000035,Monitor,North,4,68.83,275.32,2022-04-22
T00000036,Smartwatch,East,9,380.64,3425.76,2023-12-21
T00000037,Monitor,South,20,1692.6,33852.0,2023-07-27
T00000038,Printer,South,16,791.78,12668.48,2022-08-21
T00000039,Monitor,North,9,1265.52,11389.68,2020-07-13
T00000040,Printer,South,9,1390.17,12511.53,2024-01-03
T00000041,Laptop,Central,19,1770.4,33637.6,2021-01-26
T00000042,Monitor,North,6,1090.7,6544.2,2023-12-20
T00000043,Printer,North,15,1457.16,21857.4,2024-04-28
T00000044,Monitor,East,14,1351.18,18916.52,2021-10-02
T00000045,Mouse,Central,1,1430.66,1430.66,2020-11-14
T00000046,Laptop,West,8,1065.01,8520.08,2021-03-29
T00000047,Tablet,South,14,1287.26,18021.64,2021-12-04
T00000048,Smartphone,Central,6,874.32,5245.92,2020-05-13
T00000049,Mouse,Central,2,1065.35,2130.7,2024-03-23
T00000050,Printer,West,8,1236.51,9892.08,2021-11-07
T00000051,Tablet,East,3,876.06,2628.18,2024-10-28
T00000052,Smartphone,Central,16,1544.68,24714.88,2023-04-03
T00000053,Camera,Central,18,729.73,13135.14,2022-10-19
T00000054,Monitor,East,3,513.43,1540.29,2021-12-19
T00000055,Mouse,Central,16,1543.95,24703.2,2022-04-09
T00000056,Tablet,South,8,184.34,1474.72,2024-12-04
T00000057,Headphones,West,18,1234.14,22214.52,2023-01-15
T00000058,Camera,East,1,1249.86,1249.86,2022-10-03
T00000059,Headphones,East,5,844.08,4220.4,2022-06-03
T00000060,Tablet,South,6,1742.64,10455.84,2021-02-20
T00000061,Monitor,West,11,1092.6,12018.6,2024-11-06
T00000062,Smartwatch,North,13,921.32,11977.16,2021-10-28
T00000063,Printer,West,2,1101.16,2202.32,2020-07-23
T00000064,Laptop,West,17,1087.97,18495.49,2021-07-19
T00000065,Keyboard,North,7,778.55,5449.85,2024-11-02
T00000066,Keyboard,East,18,447.53,8055.54,2022-02-26
T00000067,Laptop,North,9,1941.0,17469.0,2023-07-03
T00000068,Laptop,Central,12,978.67,11744.04,2023-03-10
T00000069,Tablet,South,2,1662.16,3324.32,2022-11-20
T00000070,Keyboard,West,8,1672.19,13377.52,2022-03-31
T00000071,Monitor,North,4,1987.0,7948.0,2024-09-08
T00000072,Camera,Central,20,739.8,14796.0,2024-05-08
T00000073,Mouse,East,1,138.04,138.04,2021-11-25
T00000074,Monitor,Central,12,1134.08,13608.96,2024-08-19
